steps_mean,steps_median,steps_std,steps_min,steps_max,apples_mean,apples_median,apples_std,apples_min,apples_max,fitness_mean,fitness_median,fitness_std,fitness_min,fitness_max
4.558,4.0,3.120037820283594,1.0,19.0,0.04,0.0,0.19595917942265426,0.0,1.0,25.497637711191746,5.0,98.42219400056369,2.0,510.9033071987262
4.778,4.0,3.230590658068583,1.0,19.0,0.04533333333333334,0.0,0.21743555878057808,0.0,2.0,30.670697004636363,6.0,137.71722029932647,2.0,2149.988999664993
5.157333333333334,4.0,9.346688159747043,1.0,201.0,0.058,0.0,0.2475937532868442,0.0,3.0,38.92851022454652,6.0,188.07961098804498,2.0,5028.255347850331
5.58,5.0,11.766602454971158,1.0,201.0,0.06066666666666667,0.0,0.24695388683359945,0.0,2.0,39.105753842539244,6.0,149.94919366138635,2.0,2149.988999664993
5.287333333333334,5.0,9.3817965348979,1.0,202.0,0.05333333333333334,0.0,0.23907228102721478,0.0,2.0,36.57116235894752,6.0,161.8761425053634,2.0,2149.964098556101
5.870666666666667,5.0,11.870380767083907,1.0,208.0,0.05533333333333333,0.0,0.2343890403201955,0.0,2.0,35.85120951249518,6.0,136.50810736293423,2.0,2149.913226044195
5.436,5.0,7.94442597045249,1.0,201.0,0.07133333333333333,0.0,0.26754106642200226,0.0,2.0,45.0339330514136,6.0,165.5299069332434,2.0,2149.986294709256
6.002,5.0,12.850758576831174,1.0,201.0,0.064,0.0,0.25541600054290514,0.0,2.0,41.93533565517906,6.0,160.92196268343216,2.0,2149.986294709256
5.900666666666667,5.0,10.69368035596518,1.0,201.0,0.076,0.0,0.27487694216382236,0.0,2.0,47.813864371173416,6.0,168.5946506344232,2.0,2149.9540739565236
6.601333333333334,5.0,15.519441513433684,1.0,201.0,0.08933333333333333,0.0,0.2989195358100385,0.0,3.0,56.74556008598891,6.0,211.31880198457463,2.0,5028.82964176195
6.421333333333333,5.0,13.7795916082041,1.0,201.0,0.07066666666666667,0.0,0.2639562253270206,0.0,2.0,44.9116934142297,6.0,157.04229142323902,2.0,2149.964098556101
7.017333333333333,5.0,17.064613470245636,1.0,201.0,0.072,0.0,0.27352513595646016,0.0,2.0,48.46983666220995,7.0,181.60550115453128,2.0,2149.988999664993
7.115333333333333,5.0,18.494630704312236,1.0,201.0,0.072,0.0,0.2661127580556783,0.0,2.0,46.26305922590396,6.0,158.28574767724825,2.0,2149.988999664993
7.708666666666667,5.0,20.409959780024614,1.0,201.0,0.09733333333333333,0.0,0.3181082974222598,0.0,2.0,64.80770704879514,7.0,220.79576607147794,2.0,2149.988999664993
7.226666666666667,5.0,17.846735151157354,1.0,201.0,0.09733333333333333,0.0,0.3181082974222598,0.0,3.0,64.35129292698538,6.0,238.45758905464038,2.0,5027.633040365744
7.24,6.0,17.095215704986,1.0,201.0,0.10266666666666667,0.0,0.32474537033736994,0.0,2.0,66.99964297339626,7.0,222.96331823713342,2.0,2149.988999664993
7.56,6.0,18.500118918536714,1.0,201.0,0.12333333333333334,0.0,0.34658652919901867,0.0,2.0,76.8395108441721,7.0,225.71910036337138,2.0,2149.986294709256
7.339333333333333,6.0,17.066229408461087,1.0,201.0,0.13066666666666665,0.0,0.3655036099532929,0.0,3.0,84.88598408814732,7.0,275.7782268400511,2.0,5027.633040365744
7.911333333333333,6.0,19.757145666540215,1.0,201.0,0.14333333333333334,0.0,0.37787417070883383,0.0,3.0,91.78597260716579,7.0,279.58180681449664,2.0,5022.147118486193
8.114666666666666,6.0,19.125101783316662,1.0,201.0,0.17733333333333334,0.0,0.4201819711611731,0.0,3.0,115.04570637442478,8.0,334.9656719293792,2.0,5028.255347850331
8.309333333333333,6.0,19.734883993128065,1.0,201.0,0.20733333333333334,0.0,0.450569516155819,0.0,3.0,134.73867055236568,8.0,362.5226695258647,2.0,5027.633040365744
7.468,6.0,14.66163847142149,1.0,201.0,0.20333333333333334,0.0,0.43892545557936774,0.0,2.0,127.21873048334189,8.0,315.5022390740628,2.0,2149.988999664993
8.014666666666667,6.0,16.99971916107897,1.0,201.0,0.232,0.0,0.4755796463264592,0.0,3.0,152.03704555466751,8.0,389.6907829138441,2.0,5027.633040365744
7.943333333333333,7.0,16.226360925632367,1.0,201.0,0.244,0.0,0.48627564199741696,0.0,3.0,160.18738495378835,8.0,390.54726400658325,2.0,5025.506959415782
7.641333333333334,7.0,13.748770547054583,1.0,201.0,0.23866666666666667,0.0,0.4970293977444616,0.0,4.0,165.17285025759583,8.0,490.0186291245647,2.0,9181.016834159147
7.888,7.0,14.608837142862079,1.0,201.0,0.25,0.0,0.4961518584734584,0.0,3.0,167.07488044766473,8.0,435.6161754010272,2.0,5026.96582588445
8.101333333333333,7.0,16.213710192988597,1.0,201.0,0.25533333333333336,0.0,0.5001382031221192,0.0,3.0,170.66263955671417,8.0,429.74108230443073,2.0,5027.633040365744
8.373333333333333,7.0,16.21943141899726,1.0,201.0,0.258,0.0,0.5014339438051636,0.0,3.0,172.34383982374578,8.0,448.456782155826,2.0,5029.81866597788
